company_name,year,sector,current_ratio,quick_ratio,debt_ratio,debt_to_equity,net_profit_margin,return_on_assets,return_on_equity,asset_turnover,working_capital_ratio,interest_coverage,is_bankrupt
ABA TURISM SRL,2017,Agricultura,1.428,0.6969,0.4414,0.79,55.1099,30.5576,54.6995,0.5545,0.1889,14.4878,
EMMA CONTEXPERT SRL,2017,Agricultura,1.6013,1.4487,0.538,1.1643,5.9962,5.8385,12.6366,0.9737,0.3235,2.4147,
R.N.P. ROMSILVA - ADMINISTRAŢIA PARCULUI NATURAL APUSENI RA,2017,Agricultura,0.248,0.1254,0.7665,3.282,11.7718,2.6601,11.3907,0.226,-0.5764,0.8298,
EURO MAN INSTAL SRL,2017,Agricultura,7.8265,7.3185,0.1274,0.146,11.87,11.1977,12.8322,0.9434,0.8695,19.0633,
TURISM LOTUS FELIX SA,2017,Agricultura,1.0176,0.4422,0.9606,26.6389,1.4713,2.9554,81.9583,2.0086,0.0169,0.7281,
APĂ CANAL NORD VEST S.A.,2017,Agricultura,7.7633,4.9069,0.0667,0.0715,25.4247,12.8616,13.7812,0.5059,0.4513,45.5481,
TRANS PREST SERV BORŞ SA,2017,Agricultura,5.1105,2.9934,0.1353,0.1565,23.9098,39.621,45.8209,1.6571,0.5562,61.0905,
SERVICIUL PUBLIC ORAŞUL VAŞCĂU SRL,2017,Agricultura,0.1714,0.0801,0.7319,2.7301,1.5253,1.3348,4.9791,0.8752,-0.6064,0.574,
SOLAR ECO SYSTEMS SRL,2017,Agricultura,5.1058,2.841,0.1363,0.1666,14.3106,3.6371,4.447,0.2542,0.5595,5.8779,
RIENISAL SRL,2017,Agricultura,0.7949,0.3956,0.5405,1.6316,13.45,10.3741,31.3166,0.7713,-0.1109,4.602,
CENTRUL MEDICAL SĂNĂTATEA PENTRU TOŢI SRL,2017,Agricultura,0.6725,0.4534,0.8424,5.3468,6.3195,5.2949,33.6055,0.8379,-0.2759,1.4116,
IZBUCUL CĂRPINET SRL,2017,Agricultura,0.4516,0.3369,0.755,3.0809,5.3437,9.1544,37.3579,1.7131,-0.414,2.9108,
ECOCHIŞLAZ SRL,2017,Agricultura,1.1264,0.369,0.2183,0.2794,11.7122,10.8121,13.8388,0.9232,0.0276,10.535,
NEW LINE DISTRIBUTION S.A.,2017,Agricultura,0.6577,0.5815,0.8795,7.2977,3.0159,6.316,52.4086,2.0942,-0.301,1.9126,
PODNET CONSULTING SRL,2017,Agricultura,0.8637,0.3754,0.324,0.5892,10.2296,4.8596,8.8385,0.475,-0.0442,3.1361,
OCOLUL SILVIC LĂZĂRENI RA,2017,Agricultura,0.6762,0.3817,0.4073,0.6872,27.6111,23.2246,39.1836,0.8411,-0.1319,11.9181,
PUREM ORADEA S.R.L.,2017,Agricultura,0.6548,0.2659,0.8463,13.2159,1.3037,0.7273,11.3575,0.5579,-0.2922,0.1719,
VAMOŞLAZ TRAVEL S.A.,2017,Agricultura,0.2804,0.0426,0.5569,5.5003,0.1233,0.2944,2.9076,2.3877,-0.4008,0.128,
APĂ CANAL DERNA SRL,2017,Agricultura,0.7571,0.0866,0.7802,3.5502,0.3388,0.1672,0.7608,0.4936,-0.1895,0.058,
SALUBRITATE DOBREŞTI SRL,2017,Agricultura,0.9488,0.4616,0.6494,2.175,0.6419,0.3928,1.3155,0.6119,-0.0332,0.1664,
OCOLUL SILVIC CORMAIA ANIES RA,2017,Agricultura,1.217,0.3741,0.2851,0.3987,19.3488,18.5304,25.9186,0.9577,0.0618,14.026,
Firma_12717395,2017,Agricultura,0.1191,0.1108,0.9972,355.365,2.7347,0.0769,27.4099,0.0281,-0.8785,0.1135,
OCOLUL SILVIC MAIERU RA,2017,Agricultura,1.0083,0.44,0.7605,3.1761,7.0488,3.9429,16.466,0.5594,0.0063,1.0849,
OCOLUL SILVIC COMUNAL TELCIU RA,2017,Agricultura,1.7943,1.2451,0.3151,0.4608,27.7012,25.2564,36.9388,0.9117,0.2503,19.0886,
OCOLUL SILVIC TIHUŢA-COLIBIŢA RA,2017,Agricultura,2.1368,1.7285,0.3376,0.5097,39.7584,54.3481,82.0484,1.367,0.3838,35.1065,
OCOLUL SILVIC COMUNAL ROMULI RA,2017,Agricultura,0.6071,0.4993,1.1467,-7.8154,-1.5438,-2.6026,17.7377,1.6858,-0.4505,-0.0123,
OCOLUL SILVIC PLAIURILE HENIULUI RA,2017,Agricultura,0.6848,0.2002,0.6768,2.0944,4.8736,6.2836,19.444,1.2893,-0.2133,2.1439,
