company_name,year,sector,current_ratio,quick_ratio,debt_ratio,debt_to_equity,net_profit_margin,return_on_assets,return_on_equity,asset_turnover,working_capital_ratio,interest_coverage,is_bankrupt
ROMTURINGIA SRL,2023,Agricultura,0.1667,0.0306,3.5741,-1.3885,-47.0775,-48.1791,18.7165,1.0234,-2.9783,-2.696,
COR.TUBI SRL,2023,Agricultura,0.6994,0.4869,0.4096,0.6937,32.6449,20.0316,33.9281,0.6136,-0.1231,11.2383,
PANI-ENTERPRISE SRL,2023,Agricultura,0.2421,0.1177,0.6447,1.8147,2.6145,1.5743,4.4311,0.6021,-0.4887,0.5776,
ALBERT COMIMPEX SRL,2023,Agricultura,1.1355,0.3131,0.2945,0.5012,33.1035,10.0244,17.061,0.3028,0.0399,6.9629,
CHEVROLET C.C. SRL,2023,Agricultura,0.5634,0.3171,0.4477,1.0465,4.2798,3.6615,8.5589,0.8555,-0.1955,1.9209,
EDITURA PARALELA 45 S.R.L.,2023,Agricultura,1.4771,1.4771,0.6147,2.1098,2.8722,6.395,21.9498,2.2265,0.2933,3.4338,
ARIZONA PLUS SRL,2023,Agricultura,0.6188,0.1455,0.6514,1.8687,1.1344,0.7935,2.2762,0.6994,-0.2483,0.3031,
TITANIC GRUP SRL,2023,Agricultura,5.3113,3.4536,0.1375,0.1713,9.1125,8.5776,10.6896,0.9413,0.5927,14.2902,
ALCADIBO TRADING SA,2023,Agricultura,1.0941,0.3979,0.2952,0.4631,8.0714,8.9985,14.1154,1.1149,0.0278,6.7923,
REPARATII MODERNIZARI RETEHNOLOGIZARI ARGES SRL,2023,Agricultura,1.5431,1.0677,0.3505,0.5396,-6.2499,-4.5294,-6.9734,0.7247,0.1904,-2.0246,
QUICK COMARF BUSINESS SRL,2023,Agricultura,0.9122,0.5539,0.7768,3.4801,81.6687,16.0777,72.0296,0.1969,-0.0682,4.6315,
NUTRIPACK CÂMPULUNG S.A.,2023,Agricultura,5.8775,2.9117,0.0852,0.0932,10.7197,7.9176,8.6552,0.7386,0.4157,21.1396,
ALVVIMAR COMIMPEX SRL,2023,Agricultura,0.6589,0.2289,0.7795,3.6163,9.8469,8.1855,37.9749,0.8313,-0.2659,2.1002,
EUROPAN PROD SA,2023,Agricultura,3.0199,3.0175,0.2696,0.9233,17.8075,11.6107,39.756,0.652,0.5447,10.2367,
RIFCO TRADING SRL,2023,Agricultura,0.2268,0.2241,0.7646,6.1052,61.097,10.4277,83.2643,0.1707,-0.5912,2.7636,
DELTA PLUS TRADING SRL,2023,Agricultura,0.432,0.337,0.7657,3.3982,-80.3577,-13.905,-61.7121,0.173,-0.4349,-3.632,
DAPEROM GRUP AUTO SRL,2023,Agricultura,1.8358,1.7451,0.4531,0.8285,39.6597,25.3569,46.3664,0.6394,0.3787,13.3256,
ROM GENERAL TRADE SRL,2023,Agricultura,0.5137,0.113,0.7148,2.5063,2.8141,2.5062,8.7875,0.8906,-0.3476,0.7012,
GALENICA  PHARMA PLUS SRL,2023,Agricultura,2.2295,2.2295,0.0786,0.0856,68.299,5.1659,5.6232,0.0756,0.0967,15.4405,
INTERVISION TRADING-RO SRL,2023,Agricultura,6.7862,6.7575,0.1436,0.1677,42.8471,74.1897,86.6277,1.7315,0.8308,124.7452,
MUSA-PITESTI'96 SRL,2023,Agricultura,0.8511,0.4014,0.5374,1.4642,10.7542,15.4267,42.0348,1.4345,-0.08,6.4464,
AMAT SA,2023,Agricultura,1.0775,0.4993,0.3379,0.5104,6.4412,3.5798,5.4069,0.5558,0.0262,2.1644,
GIREXIM UNIVERSAL SA,2023,Agricultura,0.5966,0.5966,0.0785,0.0852,-12.7142,-8.0886,-8.7776,0.6362,-0.0317,-21.5951,
RONERA RUBBER SA,2023,Agricultura,0.8698,0.0618,0.5731,1.3425,1.1179,0.5931,1.3894,0.5306,-0.0746,0.3623,
MARCO POLO VE SRL,2023,Agricultura,0.6042,0.2228,0.8503,5.7818,5.4704,1.7087,11.6185,0.3124,-0.3366,0.4784,
EFTEC (ROMÂNIA) SRL,2023,Agricultura,1.0822,0.3571,0.5467,1.2059,-61.4221,-34.5486,-76.2092,0.5625,0.0449,-12.6399,
FORESTA ARGEŞ SA,2023,Agricultura,0.8281,0.3539,0.7581,3.1339,36.4206,12.0025,49.6166,0.3296,-0.1303,3.7894,
ENERGOMONTAJ GRUP SRL,2023,Agricultura,2.218,1.279,0.2953,0.4209,1.5048,1.212,1.7272,0.8054,0.3597,0.9051,
AGRO DEVELOPMENT SRL,2023,Agricultura,12.3924,12.3924,0.0807,0.0878,84.0,42.3648,46.0835,0.5043,0.9193,125.0,
EDILUL C.G.A. SA,2023,Agricultura,0.1145,0.0359,0.9849,-20.9658,-24.5423,-5.7856,123.1633,0.2357,-0.8721,-1.1688,
AUTEC AUTOTECHNIK SRL,2023,Agricultura,3.1708,3.1708,0.3154,0.4607,25.3094,12.7606,18.6388,0.5042,0.6846,9.4187,
HADITON GROUP SRL,2023,Agricultura,0.9115,0.3605,0.5466,1.3212,2.7805,1.1576,2.7982,0.4163,-0.0484,0.506,
PLASTIC OMNIUM AUTO INERGY ROMANIA SRL,2023,Agricultura,0.7737,0.6761,1.2925,-4.4188,-15.2529,-53.5597,183.1081,3.5114,-0.2925,-8.2877,
DADDA COMPUTER 2000 SRL,2023,Agricultura,1.106,0.8542,0.2661,0.6092,6.6861,4.4961,10.2934,0.6725,0.0282,4.0218,
SERVICE TOP AGRO SRL,2023,Agricultura,3.0768,2.2536,0.1934,0.242,27.9002,17.3217,21.6742,0.6208,0.4016,19.5921,
CDM COMASTRAD S.R.L.,2023,Agricultura,0.8778,0.863,0.4335,0.7653,6.7764,14.8624,26.2362,2.1933,-0.053,7.1302,
PUBLITRANS 2000 SA,2023,Agricultura,0.7678,0.4048,0.635,1.7394,4.8943,6.6306,18.1641,1.3548,-0.1474,2.7057,
APA-CANAL 2000 SA,2023,Agricultura,0.6287,0.2494,0.5321,2.2196,5.1811,1.2396,5.1705,0.2392,-0.1976,0.4776,
SALUBRITATE 2000 SA,2023,Agricultura,4.9239,4.3796,0.1984,0.2475,8.7261,16.1007,20.0856,1.8451,0.7785,20.8278,
INAPLAST DISTRIBUTION GROUP SRL,2023,Agricultura,2.6942,0.2491,0.3709,0.5895,2.2819,13.6822,21.7476,5.9961,0.6283,7.3786,
VADCRIS GROUP TRADING SRL,2023,Agricultura,1.3977,1.3231,0.4906,1.3431,0.9119,2.0052,5.4899,2.1989,0.1951,1.6561,
EMI EQUIPEMENT MAINTENANCE INDUSTRIE S.A.,2023,Agricultura,0.1725,0.1394,1.0495,-21.215,-33.4243,-1.0415,21.0547,0.0312,-0.8684,-0.1921,
ROYAL MOTORS SRL,2023,Agricultura,0.4644,0.2732,0.7544,5.4129,4.3002,4.5219,32.4466,1.0516,-0.4041,1.4375,
TRUCK DIESEL SERVICE SRL,2023,Agricultura,1.8287,1.5473,0.3048,1.2344,4.4228,2.5229,10.2168,0.5704,0.2526,1.8848,
WHEELS SPEDITION SRL,2023,Agricultura,1.1547,0.2498,0.7694,3.3369,4.0221,1.934,8.3874,0.4808,0.119,0.5856,
IONTON DALI DANS SRL,2023,Agricultura,0.9824,0.9214,0.8624,9.8753,8.7108,4.1404,47.4099,0.4753,-0.0152,0.9834,
AGRICOLA SERBANESTI SRL,2023,Agricultura,0.8596,0.3615,0.54,1.174,12.939,17.3615,37.7432,1.3418,-0.0758,7.3112,
ELEMENTE COMANDA AUTO SA,2023,Agricultura,0.1376,0.0598,3.4779,-1.0819,28.0577,33.0362,-10.2768,1.1774,-2.9994,1.8998,
VITAFARM PLUS SRL,2023,Agricultura,3.7638,2.3119,0.074,0.1269,5.4621,0.5767,0.989,0.1056,0.2045,1.8568,
ELEMASTER ELECTRONIC TECHNOLOGIES RO S.R.L.,2023,Agricultura,0.4342,0.2514,0.4956,2.5581,6.4306,5.8231,30.0561,0.9055,-0.2804,2.3499,
EJOT ROMANIA SRL,2023,Agricultura,1.2464,0.5636,0.3403,0.5347,5.6412,4.1488,6.5195,0.7354,0.0838,3.0026,
ADMINISTRARE ŞI EXPLOATARE A PATRIMONIULUI ŞI SERVICIILOR DE UTILITĂŢI PUBLICE ARGEŞ SA,2023,Agricultura,0.4583,0.2965,0.8398,5.3816,4.8251,2.4153,15.4771,0.5006,-0.4549,0.6872,
EUROPEXPRES SRL,2023,Agricultura,2.5383,0.7612,0.2004,0.3783,-9.8458,-2.0752,-3.9166,0.2108,0.3083,-1.8502,
ALBA ALUMINIU SRL,2023,Agricultura,0.6486,0.318,1.2752,-4.6336,-13.6222,-23.928,86.9453,1.7565,-0.4481,-3.7528,
DROKER SRL,2023,Agricultura,1.6387,0.4851,0.3639,0.5721,0.1297,0.1475,0.232,1.1373,0.2324,0.483,
TRANS AVRAM SRL,2023,Agricultura,1.5253,0.4956,0.4448,0.835,4.6045,2.5228,4.7357,0.5479,0.2336,1.3203,
POMPONIO SRL,2023,Agricultura,1.1749,0.4027,0.5937,1.4615,0.7749,1.4358,3.5343,1.8529,0.1038,0.5969,
LIN & EMA SRL,2023,Agricultura,1.3855,0.8711,0.3192,0.4688,35.1439,26.1084,38.3482,0.7429,0.123,19.215,
CETATEA DE BALTA SRL,2023,Agricultura,0.5823,0.3707,0.5458,1.2018,3.0775,1.6887,3.7182,0.5487,-0.228,0.6594,
H.P.T. HUMBEL PRODUCTIONSTECHNIK SRL,2023,Agricultura,0.3466,0.1779,1.3309,-4.0221,-77.0802,-23.3984,70.7123,0.3036,-0.8696,-3.5162,
NOVA GRUP SRL,2023,Agricultura,3.7803,2.5863,0.1521,0.1991,17.6873,12.7331,16.6717,0.7199,0.4228,18.8469,
ALOREF SRL,2023,Agricultura,1.0989,0.7263,0.7599,3.3971,37.3804,10.7452,48.0339,0.2875,0.0751,2.8924,
ANIMAL FERMA SRL,2023,Agricultura,1.8773,1.036,0.3307,0.4941,2.7113,1.5728,2.35,0.5801,0.2902,1.1469,
PARCUL INDUSTRIAL CUGIR SA,2023,Agricultura,0.4687,0.22,0.6339,7.0365,1.9761,0.377,4.1849,0.1908,-0.3368,0.1546,
ALBATROS GOLD SRL,2023,Agricultura,1.0743,0.9692,0.9143,10.663,10.3563,8.2181,95.8472,0.7935,0.0679,2.1401,
LINCOLN PLUS SRL,2023,Agricultura,0.6341,0.506,0.8022,4.2995,-19.9403,-14.1712,-75.9539,0.7107,-0.2935,-3.4553,
ELIS AGREGATE SRL,2023,Agricultura,0.3719,0.2713,0.7289,2.689,0.5615,0.3343,1.2332,0.5954,-0.4579,0.1509,
EURO STAR GROUP SRL,2023,Agricultura,1.9686,1.2382,0.2848,0.3991,28.5184,19.6458,27.5313,0.6889,0.2758,15.4897,
OCOLUL SILVIC SEBEŞ RA,2023,Agricultura,0.8684,0.6053,0.6433,1.8464,1.0781,1.6635,4.7744,1.543,-0.0847,0.6341,
S.T.G. SWITCH TECHNOLOGY GUNTHER SRL,2023,Agricultura,1.7198,1.6999,0.1198,1.31,0.0,0.0,0.0,0.3582,0.0863,0.0029,
OCOLUL SILVIC SAPCEA CUGIR RA,2023,Agricultura,0.8064,0.5037,0.9264,12.5862,-17.2068,-9.7203,-132.0675,0.5649,-0.1793,-2.0986,
ANA GIK TRANS SRL,2023,Agricultura,0.7456,0.1676,0.4064,0.6946,26.1369,12.9067,22.0601,0.4938,-0.1034,6.3521,
SICOFARM SRL,2023,Agricultura,0.4101,0.1741,0.6099,1.5635,0.2503,0.1812,0.4646,0.7241,-0.3598,0.2581,
COMPANIA NAŢIONALĂ ROMARM S.A. BUCUREŞTI FILIALA SOCIETATEA FABRICA DE ARME CUGIR S.A.,2023,Agricultura,2.1487,2.1403,0.1641,0.1963,53.0316,83.5445,99.9432,1.5754,0.1885,103.6667,
CONSTRUCŢII ŞI SERVICII SRL,2023,Agricultura,2.0486,0.8847,0.4822,0.9313,-0.8957,-0.9563,-1.8469,1.0677,0.5056,-0.3966,
DEASER INVEST SRL,2023,Agricultura,2.8516,1.7744,0.2388,0.3137,-17.3178,-10.1975,-13.396,0.5888,0.4421,-8.5418,
CLAUS SERVICE SRL,2023,Agricultura,1.2475,0.4506,0.3712,1.0949,15.0093,5.9277,17.4846,0.3949,0.0919,3.7085,
MECATRONICS SA,2023,Agricultura,0.3497,0.2526,0.7312,5.2011,0.3554,0.1288,0.9164,0.3625,-0.4755,0.0729,
TOBIMAR CONSTRUCT SRL,2023,Agricultura,1.105,0.4064,0.4048,0.6801,6.0882,3.89,6.5354,0.6389,0.0425,2.3357,
