company_name,year,sector,current_ratio,quick_ratio,debt_ratio,debt_to_equity,net_profit_margin,return_on_assets,return_on_equity,asset_turnover,working_capital_ratio,interest_coverage,is_bankrupt
DIVA SOL SRL,2019,Agricultura,5.3696,4.5366,0.1401,0.1629,0.8297,1.0456,1.2159,1.2602,0.6121,2.112,
MILLEFIORI S.R.L.,2019,Agricultura,0.6078,0.1948,0.5265,1.112,10.4568,22.5401,47.6036,2.1555,-0.2065,9.9929,
GAZ VEST SA,2019,Agricultura,1.9751,0.9796,0.2104,0.277,19.4136,16.4012,21.5948,0.8448,0.2051,18.1872,
CENTRUL MEDICAL LASER SYSTEM SRL,2019,Agricultura,0.8563,0.2881,0.4994,1.2847,13.0544,6.1404,15.7965,0.4704,-0.0718,2.5865,
MAXSTILE SRL,2019,Agricultura,1.1684,0.656,0.508,1.0323,-9.372,-7.747,-15.7445,0.8266,0.0855,-2.8645,
LICCO PROMPT 2000 SRL,2019,Agricultura,1.485,1.0939,0.3501,0.5386,4.1969,8.6059,13.2409,2.0505,0.1698,5.888,
FREE STYLER SRL,2019,Agricultura,0.8105,0.2358,0.4254,0.7403,18.5956,17.3851,30.2552,0.9349,-0.0806,9.8349,
VAT ROMANIA S.R.L.,2019,Agricultura,40.0,40.0,0.025,0.0256,97.0,80.8333,82.906,0.8333,0.975,100.0,
AYRTON TRANS SRL,2019,Agricultura,0.8006,0.2037,0.5639,1.3243,0.1478,0.2838,0.6665,1.9195,-0.1124,0.2001,
AUTO GROUP C.M.B. SRL,2019,Agricultura,0.3639,0.0396,0.8073,4.1884,16.3327,10.0805,52.3023,0.6172,-0.5135,3.0121,
CENTRALA ELECTRICĂ DE TERMOFICARE ARAD SA ( C.E.T.ARAD),2019,Agricultura,0.8134,0.4554,0.444,1.4,11.1259,6.7862,21.3963,0.6099,-0.0829,3.6502,
DITRE INTERNATIONAL SRL,2019,Agricultura,0.6343,0.2498,0.334,0.6276,3.6747,3.8079,7.1542,1.0362,-0.1222,2.4206,
FCC ENVIRONMENT ROMÂNIA SRL,2019,Agricultura,0.5072,0.3742,0.8963,16.6828,1.2235,0.5815,10.8237,0.4753,-0.4417,0.1298,
PERRENOT ROMANIA SRL,2019,Agricultura,0.3376,0.3376,0.767,3.2927,96.9992,8.0981,34.7628,0.0835,-0.5081,2.1768,
